source_id,target_id,value
南滨水步道-辛纳特拉大道与1街交汇处,第12街与辛纳特拉德北部交汇处,4831.0
哥伦布公园-克林顿街与9街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1685.0
哥伦布公园-克林顿街与9街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1823.0
哥伦布公园-克林顿街与9街交汇处,市政厅-华盛顿广场与第1街交汇处,1439.0
哥伦布公园-克林顿街与9街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1361.0
哥伦布公园-克林顿街与9街交汇处,哥伦布公园-克林顿街与9街交汇处,1582.0
第11街与华盛顿广场交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,2519.0
第11街与华盛顿广场交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,2479.0
第11街与华盛顿广场交汇处,市政厅-华盛顿广场与第1街交汇处,1779.0
第11街与华盛顿广场交汇处,南滨水步道-辛纳特拉大道与1街交汇处,3474.0
第11街与华盛顿广场交汇处,第11街与华盛顿广场交汇处,2905.0
第11街与华盛顿广场交汇处,教堂广场公园-第5街与公园大道交汇处,1123.0
教堂广场公园-第5街与公园大道交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1633.0
教堂广场公园-第5街与公园大道交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1485.0
教堂广场公园-第5街与公园大道交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1204.0
教堂广场公园-第5街与公园大道交汇处,教堂广场公园-第5街与公园大道交汇处,1671.0
第4街与格兰德街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,2032.0
第4街与格兰德街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1735.0
第4街与格兰德街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1271.0
第4街与格兰德街交汇处,第4街与格兰德街交汇处,1200.0
布鲁姆菲尔德街与第15街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,2345.0
布鲁姆菲尔德街与第15街交汇处,布鲁姆菲尔德街与第15街交汇处,2693.0
格兰德街与第14街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1038.0
格兰德街与第14街交汇处,格兰德街与第14街交汇处,1322.0
麦迪逊街与第1街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,2752.0
麦迪逊街与第1街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,4540.0
麦迪逊街与第1街交汇处,市政厅-华盛顿广场与第1街交汇处,1738.0
麦迪逊街与第1街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,2199.0
麦迪逊街与第1街交汇处,麦迪逊街与第1街交汇处,1817.0
第14街渡轮站-第14街与船厂巷交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1897.0
第14街渡轮站-第14街与船厂巷交汇处,南滨水步道-辛纳特拉大道与1街交汇处,5434.0
第14街渡轮站-第14街与船厂巷交汇处,第14街渡轮站-第14街与船厂巷交汇处,4613.0
第14街渡轮站-第14街与船厂巷交汇处,哈德逊街与第4街交汇处,1235.0
威洛大道与第12街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1011.0
第12街与辛纳特拉德北部交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1915.0
第12街与辛纳特拉德北部交汇处,南滨水步道-辛纳特拉大道与1街交汇处,5331.0
第12街与辛纳特拉德北部交汇处,第12街与辛纳特拉德北部交汇处,3905.0
第12街与辛纳特拉德北部交汇处,哈德逊街与第4街交汇处,1110.0
史蒂文斯-河滨大道与第6街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1129.0
史蒂文斯-河滨大道与第6街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1005.0
哈德逊街与第4街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1624.0
哈德逊街与第4街交汇处,第14街渡轮站-第14街与船厂巷交汇处,1225.0
哈德逊街与第4街交汇处,第12街与辛纳特拉德北部交汇处,1180.0
哈德逊街与第4街交汇处,哈德逊街与第4街交汇处,1364.0
基督医院,西普大道,2489.0
山顶,奥克兰大道,1012.0
基督医院,纽瓦克大道,1102.0
山顶,纽瓦克大道,1445.0
山顶,汉密尔顿公园,1040.0
基督医院,格罗夫街PATH站,1583.0
山顶,格罗夫街PATH站,1134.0
基督医院,新闻广场,1199.0
基督医院,山顶,1637.0
基督医院,基督医院,1012.0
山顶,基督医院,1431.0
山顶,山顶,1691.0
山顶,布伦斯威克街,1047.0
妈妈约翰逊球场-第4街与杰克逊街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1089.0
布伦斯威克街,沃伦街,1151.0
布伦斯威克街,纽波特PATH站,1145.0
布伦斯威克街,纽瓦克大道,2931.0
布伦斯威克街,市政厅,2072.0
布伦斯威克街,汉密尔顿公园,1616.0
布伦斯威克街,保罗斯胡克,1049.0
布伦斯威克街,格罗夫街PATH站,22940.0
布伦斯威克街,哥伦布大道,1048.0
布伦斯威克街,布伦斯威克街,2577.0
布伦斯威克街,泽西街与第三街交汇处,1335.0
布伦斯威克街,马尼拉街与第一街交汇处,1503.0
康尼帕和贝里巷,市政厅,1368.0
康尼帕和贝里巷,格罗夫街PATH站,2562.0
康尼帕和贝里巷,康尼帕和贝里巷,1485.0
拉法叶公园,自由轻轨,2194.0
拉法叶公园,市政厅,4062.0
拉法叶公园,格罗夫街PATH站,6239.0
拉法叶公园,拉法叶公园,2141.0
泽西街与第三街交汇处,沃伦街,1173.0
泽西街与第三街交汇处,范福斯特公园,1888.0
泽西街与第三街交汇处,纽波特PATH站,1203.0
泽西街与第三街交汇处,市政厅,1234.0
泽西街与第三街交汇处,汉密尔顿公园,8099.0
泽西街与第三街交汇处,格罗夫街PATH站,7228.0
泽西街与第三街交汇处,港岸边,1220.0
泽西街与第三街交汇处,泽西市医疗中心,1135.0
泽西街与第三街交汇处,布伦斯威克街,1685.0
泽西街与第三街交汇处,泽西街与第三街交汇处,2234.0
泽西街与第三街交汇处,马尼拉街与第一街交汇处,1291.0
泽西街与第三街交汇处,布伦斯威克街与第6街交汇处,2745.0
泽西街与第三街交汇处,蒙茅斯街与第六街交汇处,3020.0
泽西街与第三街交汇处,泽西街与第6街交汇处,2674.0
西南公园-杰克逊街与观察者高速公路交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1291.0
西南公园-杰克逊街与观察者高速公路交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,2901.0
霍博肯大道与蒙茅斯街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,2636.0
霍博肯大道与蒙茅斯街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,6725.0
霍博肯大道与蒙茅斯街交汇处,纽波特公园道,1559.0
霍博肯大道与蒙茅斯街交汇处,纽波特PATH站,1716.0
霍博肯大道与蒙茅斯街交汇处,汉密尔顿公园,1186.0
霍博肯大道与蒙茅斯街交汇处,市政厅-华盛顿广场与第1街交汇处,1063.0
霍博肯大道与蒙茅斯街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1068.0
霍博肯大道与蒙茅斯街交汇处,霍博肯大道与蒙茅斯街交汇处,4636.0
马歇尔街与第2街交汇处,市政厅-华盛顿广场与第1街交汇处,1087.0
马尼拉街与第一街交汇处,沃伦街,1324.0
马尼拉街与第一街交汇处,交易所广场,1099.0
马尼拉街与第一街交汇处,纽波特公园道,1308.0
马尼拉街与第一街交汇处,纽波特PATH站,1338.0
马尼拉街与第一街交汇处,汉密尔顿公园,8460.0
马尼拉街与第一街交汇处,格罗夫街PATH站,2228.0
马尼拉街与第一街交汇处,马林轻轨,1034.0
马尼拉街与第一街交汇处,港岸边,1383.0
马尼拉街与第一街交汇处,布伦斯威克街,1525.0
马尼拉街与第一街交汇处,泽西街与第三街交汇处,1887.0
马尼拉街与第一街交汇处,马尼拉街与第一街交汇处,2050.0
马尼拉街与第一街交汇处,布伦斯威克街与第6街交汇处,2395.0
马尼拉街与第一街交汇处,蒙茅斯街与第六街交汇处,2676.0
马尼拉街与第一街交汇处,泽西街与第6街交汇处,2644.0
布伦斯威克街与第6街交汇处,纽波特PATH站,1276.0
布伦斯威克街与第6街交汇处,纽瓦克大道,2856.0
布伦斯威克街与第6街交汇处,市政厅,1153.0
布伦斯威克街与第6街交汇处,汉密尔顿公园,1605.0
布伦斯威克街与第6街交汇处,格罗夫街PATH站,17517.0
布伦斯威克街与第6街交汇处,泽西街与第三街交汇处,1766.0
布伦斯威克街与第6街交汇处,马尼拉街与第一街交汇处,3531.0
布伦斯威克街与第6街交汇处,布伦斯威克街与第6街交汇处,1343.0
迪街,西普大道,2456.0
迪街,新闻广场,2566.0
林肯公园,西普大道,7551.0
林肯公园,林肯公园,6983.0
格伦伍德大道,西普大道,4001.0
蒙哥马利街,格罗夫街PATH站,3942.0
鲍德温街与蒙哥马利街交汇处,西普大道,6887.0
鲍德温街与蒙哥马利街交汇处,交易所广场,1263.0
鲍德温街与蒙哥马利街交汇处,纽瓦克大道,1075.0
鲍德温街与蒙哥马利街交汇处,市政厅,1529.0
鲍德温街与蒙哥马利街交汇处,格罗夫街PATH站,6703.0
鲍德温街与蒙哥马利街交汇处,鲍德温街与蒙哥马利街交汇处,1990.0
蒙茅斯街与第六街交汇处,纽瓦克大道,2243.0
蒙茅斯街与第六街交汇处,格罗夫街PATH站,15659.0
蒙茅斯街与第六街交汇处,泽西街与第三街交汇处,1569.0
蒙茅斯街与第六街交汇处,马尼拉街与第一街交汇处,3994.0
蒙茅斯街与第六街交汇处,蒙茅斯街与第六街交汇处,1363.0
泽西街与第6街交汇处,沃伦街,1071.0
泽西街与第6街交汇处,纽波特PATH站,1655.0
泽西街与第6街交汇处,纽瓦克大道,2888.0
泽西街与第6街交汇处,市政厅,1288.0
泽西街与第6街交汇处,汉密尔顿公园,1020.0
泽西街与第6街交汇处,格罗夫街PATH站,18401.0
泽西街与第6街交汇处,哥伦布大道,1264.0
泽西街与第6街交汇处,泽西街与第三街交汇处,1587.0
泽西街与第6街交汇处,马尼拉街与第一街交汇处,2806.0
泽西街与第6街交汇处,泽西街与第6街交汇处,1867.0
迪克森米尔斯,市政厅,1074.0
迪克森米尔斯,格罗夫街PATH站,18105.0
迪克森米尔斯,港岸边,1020.0
迪克森米尔斯,迪克森米尔斯,1777.0
纽约车站,交易所广场,1121.0
纽约车站,格罗夫街PATH站,1886.0
河景公园,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1060.0
高地电梯,纽波特公园道,1046.0
河景公园,纽波特PATH站,1042.0
高地电梯,纽波特PATH站,1008.0
河景公园,格罗夫街PATH站,1158.0
河景公园,高地电梯,2111.0
河景公园,河景公园,1791.0
高地电梯,河景公园,2423.0
高地电梯,高地电梯,1836.0
第6街与格兰德街交汇处,霍博肯终点站-瑞弗街与哈德逊广场交汇处,1542.0
第6街与格兰德街交汇处,霍博肯终点站-哈德逊街与哈德逊广场交汇处,1817.0
第6街与格兰德街交汇处,南滨水步道-辛纳特拉大道与1街交汇处,1122.0
联合街,西普大道,2392.0
联合街,联合街,1357.0
阿斯特广场,西普大道,9795.0
阿斯特广场,阿斯特广场,1309.0
